01DCT0199F|VESPERTINO||268|  8.6| 32.0| 52.6|  6.8|  8.3| 29.4| 30.9| 31.3
01PCT0005G|MATUTINO||53| 30.2| 45.3| 24.5|  0.0| 41.5| 47.2|  5.7|  5.7
01PCT0009C|MATUTINO||11| 36.4| 54.5|  9.1|  0.0| 27.3| 45.5| 27.3|  0.0
01DCT0004C|MATUTINO||216|  9.7| 33.3| 53.2|  3.7|  8.8| 40.0| 31.2| 20.0
01DCT0002E|MATUTINO||214| 14.1| 37.6| 42.7|  5.6| 15.6| 41.5| 23.6| 19.3
01DCT0002E|VESPERTINO||160| 41.7| 37.8| 19.2|  1.3| 39.0| 39.6| 15.1|  6.3
01PCT0008D|MATUTINO||71| 22.5| 46.5| 31.0|  0.0| 46.5| 46.5|  5.6|  1.4
01PCT0002J|MATUTINO||32| 25.0| 50.0| 25.0|  0.0| 25.0| 50.0| 15.6|  9.4
01EBH0001K|MATUTINO||174|  1.7| 18.0| 73.3|  7.0|  1.7| 36.2| 39.7| 22.4
01EBH0001K|VESPERTINO||57| 10.5| 35.1| 54.4|  0.0| 19.3| 57.9| 15.8|  7.0
01PBH0102O|MATUTINO||32|  6.3| 34.4| 59.4|  0.0| 25.0| 62.5|  9.4|  3.1
01PBH0069X|MATUTINO||38| 44.7| 36.8| 18.4|  0.0| 63.2| 28.9|  7.9|  0.0
01PBH0079D|MATUTINO||30| 43.3| 40.0| 13.3|  3.3| 50.0| 46.7|  3.3|  0.0
01PBH0080T|VESPERTINO||36| 22.9| 60.0| 17.1|  0.0| 41.7| 50.0|  5.6|  2.8
01PBH0021D|VESPERTINO||41| 26.8| 43.9| 29.3|  0.0| 36.6| 36.6| 12.2| 14.6
01PBH0094W|MATUTINO||67| 19.4| 49.3| 31.3|  0.0| 49.3| 41.8|  7.5|  1.5
01PBH0094W|VESPERTINO||31| 16.1| 54.8| 29.0|  0.0| 51.6| 38.7|  9.7|  0.0
01PBH0052X|MATUTINO||7| 20.0| 20.0| 60.0|  0.0| 42.9| 57.1|  0.0|  0.0
01PBH0074I|MATUTINO||22| 18.2| 40.9| 36.4|  4.5| 22.7| 45.5| 13.6| 18.2
01PBH0016S|MATUTINO||20| 36.8| 47.4| 10.5|  5.3| 40.0| 45.0| 10.0|  5.0
01PBH0098S|MATUTINO||11| 45.5| 36.4| 18.2|  0.0| 27.3| 27.3| 27.3| 18.2
01PBH0003O|MATUTINO||8| 25.0| 25.0| 50.0|  0.0| 62.5| 37.5|  0.0|  0.0
01PBH0088L|MATUTINO||68| 36.7| 50.0| 13.3|  0.0| 52.2| 38.8|  6.0|  3.0
01PBH0088L|VESPERTINO||25| 17.4| 52.2| 30.4|  0.0| 39.1| 43.5| 17.4|  0.0
01PBH0077F|MATUTINO||12|  8.3| 25.0| 66.7|  0.0| 25.0| 58.3| 16.7|  0.0
01PBH0047L|MATUTINO||44| 15.9| 38.6| 43.2|  2.3| 43.2| 47.7|  6.8|  2.3
01PBH0054V|MATUTINO||15|  6.7| 26.7| 53.3| 13.3| 60.0| 13.3| 13.3| 13.3
01PBH0067Z|MATUTINO||31| 30.0| 33.3| 33.3|  3.3| 32.3| 38.7| 22.6|  6.5
01PBH0067Z|VESPERTINO||44| 22.7| 47.7| 29.5|  0.0| 36.4| 38.6| 15.9|  9.1
01PBH0109H|MATUTINO||5|  0.0|  0.0| 80.0| 20.0|  0.0| 20.0| 40.0| 40.0
01PBH0048K|MATUTINO||47| 12.8| 38.3| 38.3| 10.6| 23.4| 46.8| 19.1| 10.6
01PBH0112V|MATUTINO||21| 25.0| 45.0| 25.0|  5.0| 23.8| 57.1|  9.5|  9.5
01PBH0084P|MATUTINO||19| 26.3| 42.1| 26.3|  5.3| 57.9| 26.3|  5.3| 10.5
01PBH0084P|VESPERTINO||8|  0.0| 71.4| 28.6|  0.0| 50.0| 50.0|  0.0|  0.0
01PBH0099R|MATUTINO||5| 60.0| 40.0|  0.0|  0.0| 60.0| 20.0| 20.0|  0.0
01PBH0087M|MATUTINO||22| 25.0| 65.0| 10.0|  0.0| 40.9| 36.4| 22.7|  0.0
01PBH0086N|MATUTINO||27| 29.6| 44.4| 25.9|  0.0| 34.6| 34.6| 23.1|  7.7
01PBH0103N|MATUTINO||36| 50.0| 38.2| 11.8|  0.0| 51.4| 42.9|  5.7|  0.0
01PBH0097T|MATUTINO||24|  9.1| 40.9| 45.5|  4.5| 29.2| 62.5|  8.3|  0.0
01PBH0106K|MATUTINO||22| 18.2| 59.1| 22.7|  0.0| 36.4| 50.0|  9.1|  4.5
01PBH0085O|MATUTINO||25| 25.0| 37.5| 29.2|  8.3| 41.7| 37.5| 16.7|  4.2
01PBH0014U|MATUTINO||9| 33.3| 22.2| 44.4|  0.0| 22.2| 55.6| 11.1| 11.1
