01EBH0001K|VESPERTINO||57|0.105|0.351|0.544|0|0.193|0.579|0.158|0.07
01PBH0102O|MATUTINO||32|0.063|0.344|0.594|0|0.25|0.625|0.094|0.031
01PBH0069X|MATUTINO||38|0.447|0.368|0.184|0|0.632|0.289|0.079|0
01PBH0079D|MATUTINO||30|0.433|0.4|0.133|0.033|0.5|0.467|0.033|0
01PBH0080T|VESPERTINO||36|0.229|0.6|0.171|0|0.417|0.5|0.056|0.028
01PBH0021D|VESPERTINO||41|0.268|0.439|0.293|0|0.366|0.366|0.122|0.146
01PBH0094W|MATUTINO||67|0.194|0.493|0.313|0|0.493|0.418|0.075|0.015
01PBH0094W|VESPERTINO||31|0.161|0.548|0.29|0|0.516|0.387|0.097|0
01PBH0052X|MATUTINO||7|0.2|0.2|0.6|0|0.429|0.571|0|0
01PBH0074I|MATUTINO||22|0.182|0.409|0.364|0.045|0.227|0.455|0.136|0.182
01PBH0016S|MATUTINO||20|0.368|0.474|0.105|0.053|0.4|0.45|0.1|0.05
01PBH0098S|MATUTINO||11|0.455|0.364|0.182|0|0.273|0.273|0.273|0.182
01PBH0003O|MATUTINO||8|0.25|0.25|0.5|0|0.625|0.375|0|0
01PBH0088L|MATUTINO||68|0.367|0.5|0.133|0|0.522|0.388|0.06|0.03
01PBH0088L|VESPERTINO||25|0.174|0.522|0.304|0|0.391|0.435|0.174|0
01PBH0077F|MATUTINO||12|0.083|0.25|0.667|0|0.25|0.583|0.167|0
01PBH0047L|MATUTINO||44|0.159|0.386|0.432|0.023|0.432|0.477|0.068|0.023
01PBH0054V|MATUTINO||15|0.067|0.267|0.533|0.133|0.6|0.133|0.133|0.133
01PBH0067Z|MATUTINO||31|0.3|0.333|0.333|0.033|0.323|0.387|0.226|0.065
01PBH0067Z|VESPERTINO||44|0.227|0.477|0.295|0|0.364|0.386|0.159|0.091
01PBH0109H|MATUTINO||5|0|0|0.8|0.2|0|0.2|0.4|0.4
01PBH0048K|MATUTINO||47|0.128|0.383|0.383|0.106|0.234|0.468|0.191|0.106
01PBH0112V|MATUTINO||21|0.25|0.45|0.25|0.05|0.238|0.571|0.095|0.095
01PBH0084P|MATUTINO||19|0.263|0.421|0.263|0.053|0.579|0.263|0.053|0.105
01PBH0084P|VESPERTINO||8|0|0.714|0.286|0|0.5|0.5|0|0
01PBH0099R|MATUTINO||5|0.6|0.4|0|0|0.6|0.2|0.2|0
01PBH0087M|MATUTINO||22|0.25|0.65|0.1|0|0.409|0.364|0.227|0
01PBH0086N|MATUTINO||27|0.296|0.444|0.259|0|0.346|0.346|0.231|0.077
01PBH0103N|MATUTINO||36|0.5|0.382|0.118|0|0.514|0.429|0.057|0
01PBH0097T|MATUTINO||24|0.091|0.409|0.455|0.045|0.292|0.625|0.083|0
01PBH0106K|MATUTINO||22|0.182|0.591|0.227|0|0.364|0.5|0.091|0.045
01PBH0085O|MATUTINO||25|0.25|0.375|0.292|0.083|0.417|0.375|0.167|0.042
01PBH0014U|MATUTINO||9|0.333|0.222|0.444|0|0.222|0.556|0.111|0.111
01PBH0059Q|MATUTINO||3|0|1|0|0|0|0.667|0.333|0
01PBH0100X|MATUTINO||19|0.313|0.313|0.313|0.063|0.278|0.5|0.111|0.111
01PBH0100Q|VESPERTINO||6|0.4|0.2|0.4|0|0.333|0.667|0|0
01PBH0100Q|MATUTINO||8|0|0.625|0.375|0|0.25|0.625|0.125|0
01PBH0076G|MATUTINO||132|0.551|0.339|0.11|0|0.52|0.376|0.064|0.04
01PBH0076G|VESPERTINO||13|0.444|0.222|0.333|0|0.333|0.583|0.083|0
01PBH0076G|MATUTINO|EXTENSION 1|12|0.417|0.5|0.083|0|0.583|0.417|0|0
01PBH0024A|MATUTINO||77|0.24|0.48|0.28|0|0.434|0.408|0.132|0.026
01PBH0024A|VESPERTINO||58|0.414|0.362|0.207|0.017|0.517|0.328|0.138|0.017
01PBH0108I|NOCTURNO||34|0.188|0.531|0.281|0|0.364|0.515|0.061|0.061
01PBH0104M|MATUTINO||22|0.333|0.5|0.167|0|0.4|0.6|0|0
01PBH0115S|VESPERTINO||11|0.364|0.455|0.182|0|0.636|0.364|0|0
01PBH0038D|MATUTINO||30|0.1|0.2|0.6|0.1|0.2|0.333|0.267|0.2
01PBH0038D|VESPERTINO||38|0.026|0.237|0.737|0|0.053|0.395|0.289|0.263
01PBH0107J|MATUTINO||3|0|1|0|0|0.333|0.667|0|0
01PBH0101P|MATUTINO||11|0.6|0.2|0.2|0|0.273|0.545|0|0.182
01PBH0092Y|VESPERTINO||19|0.316|0.474|0.211|0|0.444|0.389|0.167|0
01PBH0096U|MATUTINO||6|0|0.167|0.833|0|0.167|0.333|0.5|0
01PBH0012W|MATUTINO||12|0|0.167|0.583|0.25|0.25|0.5|0.167|0.083
01PBH0036F|MATUTINO||27|0.037|0.185|0.593|0.185|0|0.037|0.259|0.704
01PBH0060F|MATUTINO||30|0|0.167|0.633|0.2|0.033|0.1|0.2|0.667
01PBH0049J|MATUTINO||42|0.025|0.3|0.575|0.1|0.167|0.405|0.238|0.19
01PBH0057S|MATUTINO||35|0|0.182|0.697|0.121|0|0.257|0.286|0.457
01PBH0025Z|MATUTINO||33|0.152|0.303|0.545|0|0.091|0.455|0.212|0.242
01PBH0034H|MATUTINO||42|0.024|0.095|0.595|0.286|0.049|0.195|0.39|0.366
01PBH0050Z|MATUTINO||9|0.333|0.222|0.333|0.111|0.222|0.556|0.111|0.111
01PBH0027Y|MATUTINO||55|0.182|0.364|0.436|0.018|0.218|0.473|0.2|0.109
01PBH0019P|MATUTINO||32|0.063|0.469|0.438|0.031|0.156|0.281|0.313|0.25
01PBH0017R|MATUTINO||46|0.109|0.435|0.413|0.043|0.239|0.522|0.109|0.13
01ETH0030V|MATUTINO||26|0.038|0.615|0.308|0.038|0.308|0.5|0.154|0.038
01ETH0002Z|MATUTINO||28|0.333|0.481|0.185|0|0.37|0.519|0.074|0.037
01ETH0039M|VESPERTINO||17|0.294|0.647|0.059|0|0.529|0.294|0.176|0
01ETH0038N|VESPERTINO||15|0.2|0.667|0.133|0|0.6|0.267|0.133|0
01ETH0015C|MATUTINO||22|0.136|0.636|0.227|0|0.091|0.364|0.455|0.091
01ETH0027H|VESPERTINO||13|0.25|0.417|0.25|0.083|0.308|0.385|0.077|0.231
01ETH0004X|MATUTINO||24|0.042|0.542|0.417|0|0.042|0.458|0.292|0.208
01ETH0006V|VESPERTINO||31|0.097|0.29|0.581|0.032|0.065|0.419|0.29|0.226
01ETH0022M|VESPERTINO||33|0.182|0.485|0.303|0.03|0.212|0.455|0.242|0.091
01ETH0005W|VESPERTINO||23|0.087|0.609|0.261|0.043|0.087|0.478|0.217|0.217
01ETH0041A|VESPERTINO||8|0|0.5|0.5|0|0.125|0.875|0|0
01ETH0029F|VESPERTINO||25|0.08|0.68|0.24|0|0.24|0.4|0.2|0.16
01ETH0035Q|VESPERTINO||23|0.13|0.478|0.391|0|0.091|0.682|0.045|0.182
01ETH0026I|MATUTINO||12|0.167|0.417|0.417|0|0|0.333|0.417|0.25
01ETH0042Z|VESPERTINO||6|0.167|0.667|0.167|0|0.333|0.5|0.167|0
01ETH0036P|VESPERTINO||28|0.321|0.393|0.286|0|0.5|0.25|0.143|0.107
01ETH0010H|MATUTINO||81|0.173|0.494|0.284|0.049|0.222|0.346|0.21|0.222
01ETH0031U|MATUTINO||15|0.133|0.333|0.467|0.067|0.067|0.067|0.333|0.533
01ETH0025J|MATUTINO||28|0.231|0.462|0.269|0.038|0.429|0.286|0.143|0.143
01ETH0012F|MATUTINO||28|0.214|0.5|0.286|0|0.286|0.5|0.143|0.071
01ETH0021N|VESPERTINO||25|0.04|0.56|0.4|0|0.08|0.56|0.24|0.12
01ETH0040B|VESPERTINO||7|0.571|0.429|0|0|0.714|0.286|0|0
01ETH0016B|MATUTINO||14|0.071|0.714|0.214|0|0.357|0.571|0.071|0
01UBH0013G|MATUTINO||205|0.005|0.025|0.68|0.291|0.005|0.039|0.176|0.779
01UBH0013G|VESPERTINO||228|0.023|0.117|0.739|0.122|0.009|0.105|0.307|0.579
